Cow_ID,Age_Years,Breed,Farm_Cleanliness,Env_Temp_7d_Avg_C,Env_Humidity_7d_Avg,Body_Temp_7d_Avg_C,Cow_Movement_7d_Avg_Steps,Milk_Conductivity_7d_Avg_mS_cm,Milk_Yield_7d_Avg_L,Mastitis_Risk_Percentage
COW_0001,8,Jersey,Yes,11.0,45.3,39.08,1474.0,5.12,21.2,17.8
COW_0002,5,Holstein,Yes,15.0,45.6,38.69,1757.0,5.03,23.2,13.8
COW_0003,9,Jersey,Yes,24.0,54.6,39.08,1247.0,5.64,29.8,36.2
COW_0004,6,Holstein,Yes,34.3,70.7,38.94,1875.0,5.94,16.6,37.0
COW_0005,8,Holstein,Yes,31.7,80.2,39.04,1026.0,5.97,26.4,33.6
COW_0006,11,Holstein,Yes,31.9,85.0,39.25,1699.0,5.73,26.2,31.8
COW_0007,4,Holstein,Yes,17.9,71.2,39.16,1967.0,5.48,26.6,27.6
COW_0008,8,Jersey,Yes,21.2,40.3,38.72,1829.0,4.93,28.9,9.0
COW_0009,9,Holstein,Yes,22.2,49.3,38.95,2170.0,5.52,15.0,26.9
COW_0010,6,Holstein,No,14.1,45.0,39.1,1185.0,6.06,21.0,35.2
COW_0011,5,Jersey,Yes,10.8,58.2,38.52,1679.0,4.81,38.4,5.8
COW_0012,9,Jersey,Yes,34.6,65.1,39.62,1411.0,6.75,17.9,58.1
COW_0013,9,Holstein,Yes,16.3,42.2,38.95,2159.0,4.93,38.0,10.9
COW_0014,4,Holstein,Yes,16.2,57.4,38.97,1820.0,5.67,19.1,35.3
COW_0015,7,Holstein,No,12.2,49.0,39.6,2042.0,6.79,15.6,71.1
COW_0016,6,Jersey,Yes,34.1,72.4,39.16,1437.0,5.67,21.2,32.8
COW_0017,3,Jersey,Yes,25.1,63.2,38.99,1236.0,5.64,32.1,33.9
COW_0018,9,Brown Swiss,Yes,27.3,64.8,39.01,2346.0,5.29,23.5,34.5
COW_0019,7,Holstein,Yes,33.7,61.4,39.21,1220.0,6.04,27.9,34.4
COW_0020,3,Holstein,Yes,19.0,87.8,38.56,2186.0,5.0,29.4,10.3
COW_0021,6,Holstein,Yes,26.2,50.7,39.11,1450.0,5.55,27.1,19.8
COW_0022,2,Holstein,Yes,11.0,65.8,38.8,1071.0,5.51,34.7,12.5
COW_0023,11,Holstein,Yes,14.9,76.8,39.17,1613.0,5.44,30.7,22.9
COW_0024,7,Guernsey,Yes,31.6,67.8,38.99,2017.0,5.66,20.2,41.8
COW_0025,10,Holstein,Yes,29.9,86.5,39.04,1288.0,6.05,24.6,34.1
COW_0026,2,Holstein,Yes,19.1,58.9,38.76,2093.0,4.9,38.2,12.7
COW_0027,11,Jersey,Yes,19.8,63.2,38.92,1960.0,6.26,27.7,38.3
COW_0028,4,Holstein,Yes,23.9,44.4,39.03,1226.0,5.72,17.6,36.5
COW_0029,8,Jersey,Yes,10.0,70.4,39.22,1612.0,5.47,18.4,36.9
COW_0030,5,Holstein,Yes,16.3,54.4,38.34,2549.0,5.03,34.4,7.2
COW_0031,10,Holstein,No,15.4,48.0,39.05,1724.0,6.83,27.0,54.6
COW_0032,4,Holstein,Yes,16.5,67.2,38.57,1836.0,4.52,23.8,5.6
COW_0033,6,Holstein,Yes,31.0,66.6,38.8,1872.0,5.61,30.3,26.3
COW_0034,4,Guernsey,Yes,17.3,43.8,39.32,1405.0,6.08,33.0,38.1
COW_0035,8,Holstein,Yes,15.0,74.9,39.24,2029.0,5.87,32.9,34.7
COW_0036,6,Holstein,Yes,23.1,71.2,39.06,2101.0,5.77,34.7,31.3
COW_0037,10,Holstein,Yes,32.5,49.5,39.05,1629.0,5.89,27.3,39.2
COW_0038,8,Holstein,Yes,16.3,63.5,39.1,1856.0,5.35,26.0,20.2
COW_0039,3,Guernsey,No,12.0,76.0,38.83,1319.0,5.86,23.3,39.7
COW_0040,5,Holstein,Yes,19.3,66.5,39.14,1339.0,5.03,27.7,17.8
COW_0041,10,Jersey,Yes,29.4,59.8,38.94,1540.0,5.83,21.1,37.9
COW_0042,3,Brown Swiss,No,24.3,56.1,39.29,1424.0,6.42,21.0,61.0
COW_0043,11,Holstein,Yes,31.2,70.5,38.94,2055.0,5.63,32.5,44.0
COW_0044,10,Guernsey,No,34.9,87.0,39.19,1704.0,6.63,15.3,62.8
COW_0045,11,Holstein,Yes,30.6,73.6,39.37,1699.0,5.47,17.4,38.6
COW_0046,6,Holstein,No,25.7,43.7,39.35,1889.0,6.22,27.6,53.1
COW_0047,3,Holstein,Yes,22.8,63.0,39.06,1456.0,6.02,25.4,26.9
COW_0048,5,Jersey,Yes,11.0,84.5,38.48,2369.0,4.69,18.0,5.4
