epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.783806,0.79404,0.5,1,0.8582,0.000476286,0.000476286,0.000476286
2,2.23718,0.75132,0.5,1,0.8582,0.000963844,0.000963844,0.000963844
3,2.92831,0.85677,0.5,1,0.8582,0.00137805,0.00137805,0.00137805
4,3.5777,0.79644,0.5,1,0.8582,0.00133693,0.00133693,0.00133693
5,4.27326,0.81767,0.5,1,0.89071,0.00122691,0.00122691,0.00122691
6,4.9165,0.72806,0.5,1,0.89071,0.00111689,0.00111689,0.00111689
7,5.59407,0.64146,0.5,1,0.89071,0.00100687,0.00100687,0.00100687
8,6.23296,0.72068,0.5,1,0.89071,0.000896846,0.000896846,0.000896846
9,6.93456,0.75885,0.5,1,0.82949,0.000786824,0.000786824,0.000786824
10,7.63345,0.64469,0.5,1,0.82949,0.000676802,0.000676802,0.000676802
11,8.35542,0.75463,0.5,1,0.82949,0.00056678,0.00056678,0.00056678
12,9.03686,0.68917,0.5,1,0.82949,0.000456758,0.000456758,0.000456758
13,9.73555,0.63897,0.5,1,0.82949,0.000346736,0.000346736,0.000346736
