epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.931202,0.79404,0.5,1,0.8582,0.000476286,0.000476286,0.000476286
2,2.30452,0.75132,0.5,1,0.8582,0.000963844,0.000963844,0.000963844
3,3.13986,0.85677,0.5,1,0.8582,0.00137805,0.00137805,0.00137805
4,3.82742,0.79644,0.5,1,0.8582,0.00133693,0.00133693,0.00133693
5,4.53992,0.81767,0.5,1,0.89071,0.00122691,0.00122691,0.00122691
6,5.2176,0.72806,0.5,1,0.89071,0.00111689,0.00111689,0.00111689
7,5.89127,0.64146,0.5,1,0.89071,0.00100687,0.00100687,0.00100687
8,6.59313,0.72068,0.5,1,0.89071,0.000896846,0.000896846,0.000896846
9,7.33272,0.75885,0.5,1,0.82949,0.000786824,0.000786824,0.000786824
10,8.02413,0.64469,0.5,1,0.82949,0.000676802,0.000676802,0.000676802
11,8.69488,0.75463,0.5,1,0.82949,0.00056678,0.00056678,0.00056678
12,9.37499,0.68917,0.5,1,0.82949,0.000456758,0.000456758,0.000456758
13,10.0849,0.63897,0.5,1,0.82949,0.000346736,0.000346736,0.000346736
14,10.8066,0.60376,0.5,1,0.79082,0.000236714,0.000236714,0.000236714
15,11.4844,0.56647,0.5,1,0.79082,0.000126692,0.000126692,0.000126692
